Innovator U.S. Equity Buffer ETF (BJAN)
As of 10/3/2023
Date,Ticker,Fund Price,Fund Return,Index,Index Level,Index Return,Remaining Cap,Remaining Buffer,Downside Before Buffer,Remaining Outcome Period,
08-01-2023,BJAN,$38.54,16.42%,SPDR S&P 500 ETF Trust,456.48,19.36%,6.93%,9.19%,-14.57%,152 days,
08-02-2023,BJAN,$38.19,15.36%,SPDR S&P 500 ETF Trust,450.13,17.70%,7.90%,8.90%,-13.78%,151 days,
08-03-2023,BJAN,$38.08,15.03%,SPDR S&P 500 ETF Trust,448.84,17.36%,8.21%,8.93%,-13.53%,150 days,
08-04-2023,BJAN,$37.98,14.73%,SPDR S&P 500 ETF Trust,446.81,16.83%,8.50%,8.81%,-13.30%,149 days,
08-07-2023,BJAN,$38.23,15.47%,SPDR S&P 500 ETF Trust,450.71,17.85%,7.79%,8.91%,-13.87%,146 days,
08-08-2023,BJAN,$38.15,15.24%,SPDR S&P 500 ETF Trust,448.75,17.34%,8.01%,8.75%,-13.70%,145 days,
08-09-2023,BJAN,$37.91,14.53%,SPDR S&P 500 ETF Trust,445.75,16.55%,8.68%,8.76%,-13.16%,144 days,
08-10-2023,BJAN,$37.97,14.69%,SPDR S&P 500 ETF Trust,445.91,16.60%,8.52%,8.66%,-13.29%,143 days,
08-11-2023,BJAN,$37.95,14.64%,SPDR S&P 500 ETF Trust,445.65,16.53%,8.56%,8.65%,-13.25%,142 days,
08-14-2023,BJAN,$38.13,15.19%,SPDR S&P 500 ETF Trust,448.11,17.17%,8.04%,8.66%,-13.67%,139 days,
08-15-2023,BJAN,$37.80,14.16%,SPDR S&P 500 ETF Trust,442.89,15.81%,9.01%,8.52%,-12.90%,138 days,
08-16-2023,BJAN,$37.57,13.49%,SPDR S&P 500 ETF Trust,439.64,14.96%,9.65%,8.46%,-12.38%,137 days,
08-17-2023,BJAN,$37.33,12.76%,SPDR S&P 500 ETF Trust,436.29,14.08%,10.36%,8.42%,-11.81%,136 days,
08-18-2023,BJAN,$37.33,12.75%,SPDR S&P 500 ETF Trust,436.50,14.14%,10.37%,8.46%,-11.81%,135 days,
08-21-2023,BJAN,$37.56,13.45%,SPDR S&P 500 ETF Trust,439.34,14.88%,9.68%,8.42%,-12.36%,132 days,
08-22-2023,BJAN,$37.46,13.15%,SPDR S&P 500 ETF Trust,438.15,14.57%,9.97%,8.44%,-12.13%,131 days,
08-23-2023,BJAN,$37.81,14.21%,SPDR S&P 500 ETF Trust,443.03,15.84%,8.95%,8.50%,-12.95%,130 days,
08-24-2023,BJAN,$37.39,12.95%,SPDR S&P 500 ETF Trust,436.89,14.24%,10.16%,8.37%,-11.98%,129 days,
08-25-2023,BJAN,$37.59,13.54%,SPDR S&P 500 ETF Trust,439.97,15.04%,9.59%,8.46%,-12.44%,128 days,
08-28-2023,BJAN,$37.83,14.26%,SPDR S&P 500 ETF Trust,442.76,15.77%,8.89%,8.40%,-13.00%,125 days,
08-29-2023,BJAN,$38.25,15.55%,SPDR S&P 500 ETF Trust,449.16,17.45%,7.67%,8.54%,-13.98%,124 days,
08-30-2023,BJAN,$38.37,15.90%,SPDR S&P 500 ETF Trust,451.01,17.93%,7.34%,8.59%,-14.24%,123 days,
08-31-2023,BJAN,$38.33,15.78%,SPDR S&P 500 ETF Trust,450.35,17.76%,7.45%,8.57%,-14.16%,122 days,
09-01-2023,BJAN,$38.37,15.90%,SPDR S&P 500 ETF Trust,451.19,17.98%,7.33%,8.62%,-14.25%,121 days,
09-05-2023,BJAN,$38.29,15.65%,SPDR S&P 500 ETF Trust,449.24,17.47%,7.56%,8.46%,-14.07%,117 days,
09-06-2023,BJAN,$38.07,14.98%,SPDR S&P 500 ETF Trust,446.22,16.68%,8.18%,8.44%,-13.57%,116 days,
09-07-2023,BJAN,$37.96,14.66%,SPDR S&P 500 ETF Trust,444.85,16.32%,8.48%,8.44%,-13.33%,115 days,
09-08-2023,BJAN,$38.03,14.88%,SPDR S&P 500 ETF Trust,445.52,16.49%,8.27%,8.38%,-13.50%,114 days,
09-11-2023,BJAN,$38.24,15.49%,SPDR S&P 500 ETF Trust,448.45,17.26%,7.69%,8.43%,-13.97%,111 days,
09-12-2023,BJAN,$38.06,14.98%,SPDR S&P 500 ETF Trust,445.99,16.62%,8.17%,8.39%,-13.58%,110 days,
09-13-2023,BJAN,$38.11,15.10%,SPDR S&P 500 ETF Trust,446.51,16.75%,8.05%,8.38%,-13.68%,109 days,
09-14-2023,BJAN,$38.38,15.92%,SPDR S&P 500 ETF Trust,450.36,17.76%,7.29%,8.43%,-14.29%,108 days,
09-15-2023,BJAN,$37.97,14.70%,SPDR S&P 500 ETF Trust,443.37,15.93%,8.42%,8.13%,-13.38%,107 days,
09-18-2023,BJAN,$38.02,14.86%,SPDR S&P 500 ETF Trust,443.63,16.00%,8.27%,8.05%,-13.50%,104 days,
09-19-2023,BJAN,$37.96,14.65%,SPDR S&P 500 ETF Trust,442.71,15.76%,8.46%,8.04%,-13.35%,103 days,
09-20-2023,BJAN,$37.64,13.68%,SPDR S&P 500 ETF Trust,438.64,14.70%,9.38%,8.05%,-12.61%,102 days,
09-21-2023,BJAN,$37.08,12.00%,SPDR S&P 500 ETF Trust,431.39,12.80%,11.02%,8.04%,-11.29%,101 days,
09-22-2023,BJAN,$36.99,11.74%,SPDR S&P 500 ETF Trust,430.42,12.55%,11.28%,8.06%,-11.08%,100 days,
09-25-2023,BJAN,$37.15,12.23%,SPDR S&P 500 ETF Trust,432.23,13.02%,10.79%,8.01%,-11.48%,97 days,
09-26-2023,BJAN,$36.67,10.77%,SPDR S&P 500 ETF Trust,425.88,11.36%,12.24%,7.97%,-10.31%,96 days,
09-27-2023,BJAN,$36.66,10.75%,SPDR S&P 500 ETF Trust,426.05,11.40%,12.26%,8.02%,-10.29%,95 days,
09-28-2023,BJAN,$36.84,11.29%,SPDR S&P 500 ETF Trust,428.52,12.05%,11.71%,8.05%,-10.74%,94 days,
09-29-2023,BJAN,$36.76,11.03%,SPDR S&P 500 ETF Trust,427.48,11.78%,11.97%,8.06%,-10.53%,93 days,
10-02-2023,BJAN,$36.77,11.07%,SPDR S&P 500 ETF Trust,427.31,11.73%,11.93%,7.99%,-10.56%,90 days,
10-03-2023,BJAN,$36.29,9.62%,SPDR S&P 500 ETF Trust,421.24,10.15%,13.41%,8.01%,-9.37%,89 days,
