Date,Open,High,Low,Close,Adj Close,Volume
2023-01-13,33.930000,34.250000,33.900002,34.215000,34.215000,169200
2023-01-17,34.250000,34.250000,34.150002,34.179001,34.179001,20200
2023-01-18,34.230000,34.279999,33.820000,33.830002,33.830002,69300
2023-01-19,33.740002,33.830002,33.529999,33.700001,33.700001,126500
2023-01-20,33.700001,34.169998,33.680000,34.134998,34.134998,87300
2023-01-23,34.310001,34.549999,34.310001,34.425999,34.425999,20600
2023-01-24,34.240002,34.430000,34.240002,34.430000,34.430000,38700
2023-01-25,34.180000,34.422001,34.020000,34.398998,34.398998,25700
2023-01-26,34.669998,34.720001,34.430000,34.698002,34.698002,16800
2023-01-27,34.730000,34.928001,34.700001,34.793999,34.793999,16100
2023-01-30,34.650002,34.750000,34.439999,34.459999,34.459999,42900
2023-01-31,34.500000,34.840000,34.500000,34.830002,34.830002,33200
2023-02-01,34.810001,35.270000,34.660000,35.119999,35.119999,34300
2023-02-02,35.290001,35.520000,35.250999,35.439999,35.439999,24000
2023-02-03,35.209999,35.320000,35.110001,35.182999,35.182999,28800
2023-02-06,34.970001,35.130001,34.959999,35.041000,35.041000,28200
2023-02-07,35.029999,35.439999,34.939999,35.389999,35.389999,12700
2023-02-08,35.259998,35.299999,35.040001,35.070999,35.070999,21700
2023-02-09,35.200001,35.220001,34.759998,34.839001,34.839001,15500
2023-02-10,34.799999,34.928001,34.757999,34.893002,34.893002,11100
2023-02-13,34.955002,35.180000,34.955002,35.139000,35.139000,7900
2023-02-14,35.029999,35.240002,34.931999,35.202999,35.202999,25000
2023-02-15,35.099998,35.236000,35.049999,35.236000,35.236000,28500
2023-02-16,34.919998,35.180000,34.919998,34.931000,34.931000,25100
2023-02-17,34.700001,34.889999,34.680000,34.856998,34.856998,8600
2023-02-21,34.669998,34.679001,34.340000,34.372002,34.372002,31900
2023-02-22,34.430000,34.540001,34.292999,34.292999,34.292999,21200
2023-02-23,34.540001,34.560001,34.210999,34.474998,34.474998,6300
2023-02-24,34.060001,34.171001,33.972000,34.171001,34.171001,6600
2023-02-27,34.450001,34.450001,34.259998,34.277000,34.277000,5900
2023-02-28,34.310001,34.390999,34.214001,34.251999,34.251999,5800
2023-03-01,34.119999,34.160000,34.018002,34.092999,34.092999,8800
2023-03-02,34.075001,34.293999,34.036999,34.293999,34.293999,4100
2023-03-03,34.500000,34.706001,34.430000,34.706001,34.706001,6500
2023-03-06,34.930000,34.939999,34.720001,34.730999,34.730999,7700
2023-03-07,34.720001,34.750000,34.279999,34.341000,34.341000,7700
2023-03-08,34.310001,34.400002,34.172001,34.320000,34.320000,11900
2023-03-09,34.464001,34.474998,33.849998,33.875000,33.875000,14500
2023-03-10,33.770000,33.919998,33.372002,33.476002,33.476002,13100
2023-03-13,33.270000,33.790001,33.189999,33.501999,33.501999,3800
2023-03-14,33.853001,34.025002,33.669998,33.849998,33.849998,24400
2023-03-15,33.551998,33.730000,33.360001,33.667999,33.667999,8300
2023-03-16,33.669998,34.209999,33.652000,34.181000,34.181000,3800
2023-03-17,34.029999,34.029999,33.832001,33.904999,33.904999,30500
2023-03-20,33.966000,34.168999,33.966000,34.090000,34.090000,74800
2023-03-21,34.428001,34.494999,34.305000,34.494999,34.494999,7600
2023-03-22,34.400002,34.669998,34.118000,34.118000,34.118000,5800
2023-03-23,34.349998,34.500000,33.955002,34.141998,34.141998,12200
2023-03-24,33.932999,34.235001,33.910000,34.235001,34.235001,10300
2023-03-27,34.459999,34.470001,34.290001,34.355000,34.355000,10000
2023-03-28,34.277000,34.340000,34.169998,34.282001,34.282001,6100
2023-03-29,34.581001,34.689999,34.500000,34.661999,34.661999,10100
2023-03-30,34.860001,34.869999,34.680000,34.759998,34.759998,13000
2023-03-31,34.970001,35.160000,34.900002,35.160000,35.160000,38900
2023-04-03,35.173000,35.285999,35.130001,35.285999,35.285999,11300
2023-04-04,35.310001,35.316002,35.090000,35.124001,35.124001,6500
2023-04-05,35.139999,35.139999,35.000000,35.088001,35.088001,4300
2023-04-06,34.969002,35.195000,34.969002,35.182999,35.182999,4300
2023-04-10,35.099998,35.182999,34.990002,35.182999,35.182999,25300
2023-04-11,35.259998,35.360001,35.180000,35.215000,35.215000,6200
2023-04-12,35.360001,35.360001,35.110001,35.110001,35.110001,4600
2023-04-13,35.226002,35.495998,35.220001,35.439999,35.439999,8800
2023-04-14,35.520000,35.619999,35.290001,35.429001,35.429001,3600
2023-04-17,35.479000,35.515999,35.338001,35.515999,35.515999,3500
2023-04-18,35.569000,35.580002,35.470001,35.551998,35.551998,6100
2023-04-19,35.419998,35.570000,35.419998,35.529999,35.529999,5000
2023-04-20,35.450001,35.490002,35.307999,35.391998,35.391998,4000
2023-04-21,35.419998,35.459999,35.349998,35.410000,35.410000,28500
2023-04-24,35.389999,35.480000,35.311001,35.431999,35.431999,2700
2023-04-25,35.244999,35.250000,35.020000,35.026001,35.026001,3700
2023-04-26,35.009998,35.119999,34.880001,34.911999,34.911999,41400
2023-04-27,35.189999,35.431000,35.118999,35.431000,35.431000,9700
2023-04-28,35.393002,35.666000,35.393002,35.666000,35.666000,5300
2023-05-01,35.750000,35.759998,35.650002,35.688999,35.688999,13300
2023-05-02,35.570000,35.570000,35.180000,35.380001,35.380001,14200
2023-05-03,35.330002,35.525002,35.150002,35.169998,35.169998,5200
2023-05-04,35.005001,35.040001,34.911999,34.946999,34.946999,7900
2023-05-05,35.277000,35.525002,35.277000,35.460999,35.460999,4500
2023-05-08,35.439999,35.529999,35.419998,35.480000,35.480000,53900
2023-05-09,35.320999,35.450001,35.320000,35.363998,35.363998,19300
2023-05-10,35.400002,35.549999,35.279999,35.506001,35.506001,4400
2023-05-11,35.419998,35.490002,35.334999,35.458000,35.458000,42900
2023-05-12,35.560001,35.599998,35.279999,35.430000,35.430000,70300
2023-05-15,35.549999,35.570000,35.439999,35.504002,35.504002,4900
2023-05-16,35.520000,35.520000,35.299999,35.299999,35.299999,7100
2023-05-17,35.442001,35.709999,35.384998,35.679001,35.679001,4600
2023-05-18,35.570000,35.938999,35.570000,35.938999,35.938999,4800
2023-05-19,36.019001,36.058998,35.860001,35.950001,35.950001,10900
2023-05-22,35.860001,35.980999,35.860001,35.905998,35.905998,4900
2023-05-23,35.825001,35.860001,35.584999,35.612000,35.612000,11400
2023-05-24,35.419998,35.490002,35.345001,35.409000,35.409000,8700
2023-05-25,35.549999,35.720001,35.509998,35.639000,35.639000,9400
2023-05-26,35.805000,36.040001,35.805000,36.009998,36.009998,11900
2023-05-30,36.080002,36.180000,35.911999,35.988998,35.988998,9500
